ts,id,monitor_id,metric,result_str,result_float1,result_float2,result_float3,result_float4,result_float5,Day
2019-07-17 08:31:54.049405,107,1,UPTIME,"b'{""ERROR"":""0"",""MESSAGE"":"""",""RESULT"":""pong"",""TS"":""Wed Jul 17 08:31:53 GMT 2019""}'",1,1.0455210208892822,\N,\N,\N,17
2019-07-17 08:31:54.468543,109,1,UPTIME,"b'{""ERROR"":""0"",""MESSAGE"":"""",""RESULT"":""pong"",""TS"":""Wed Jul 17 08:31:54 GMT 2019""}'",1,1.3706252574920654,\N,\N,\N,17
2019-07-17 08:36:58.210178,119,1,UPTIME,"b'{""ERROR"":""0"",""MESSAGE"":"""",""RESULT"":""pong"",""TS"":""Wed Jul 17 08:36:58 GMT 2019""}'",1,1.0624713897705078,\N,\N,\N,17
2019-07-17 08:36:58.373778,120,1,UPTIME,"b'{""ERROR"":""0"",""MESSAGE"":"""",""RESULT"":""pong"",""TS"":""Wed Jul 17 08:36:58 GMT 2019""}'",1,1.137737512588501,\N,\N,\N,17
2019-07-17 08:36:58.519485,121,1,UPTIME,"b'{""ERROR"":""0"",""MESSAGE"":"""",""RESULT"":""pong"",""TS"":""Wed Jul 17 08:36:58 GMT 2019""}'",1,0.9837079048156738,\N,\N,\N,17
2019-07-17 08:42:02.044042,131,1,UPTIME,"b'{""ERROR"":""0"",""MESSAGE"":"""",""RESULT"":""pong"",""TS"":""Wed Jul 17 08:42:01 GMT 2019""}'",1,0.986419439315796,\N,\N,\N,17
2019-07-17 08:42:02.076282,132,1,UPTIME,"b'{""ERROR"":""0"",""MESSAGE"":"""",""RESULT"":""pong"",""TS"":""Wed Jul 17 08:42:01 GMT 2019""}'",1,1.026097059249878,\N,\N,\N,17
2019-07-17 08:42:02.157851,133,1,UPTIME,"b'{""ERROR"":""0"",""MESSAGE"":"""",""RESULT"":""pong"",""TS"":""Wed Jul 17 08:42:02 GMT 2019""}'",1,0.9950571060180664,\N,\N,\N,17
2019-07-17 08:47:04.244802,137,1,UPTIME,"b'{""ERROR"":""0"",""MESSAGE"":"""",""RESULT"":""pong"",""TS"":""Wed Jul 17 08:47:04 GMT 2019""}'",1,1.0450420379638672,\N,\N,\N,17
2019-07-17 08:52:08.482671,150,1,UPTIME,"b'{""ERROR"":""0"",""MESSAGE"":"""",""RESULT"":""pong"",""TS"":""Wed Jul 17 08:52:08 GMT 2019""}'",1,1.2731518745422363,\N,\N,\N,17
2019-07-17 08:57:12.323955,161,1,UPTIME,"b'{""ERROR"":""0"",""MESSAGE"":"""",""RESULT"":""pong"",""TS"":""Wed Jul 17 08:57:12 GMT 2019""}'",1,1.123997926712036,\N,\N,\N,17
2019-07-17 09:02:18.525526,181,1,UPTIME,"b'{""ERROR"":""0"",""MESSAGE"":"""",""RESULT"":""pong"",""TS"":""Wed Jul 17 09:02:18 GMT 2019""}'",1,1.1960656642913818,\N,\N,\N,17
2019-07-17 08:47:04.376804,138,1,UPTIME,"b'{""ERROR"":""0"",""MESSAGE"":"""",""RESULT"":""pong"",""TS"":""Wed Jul 17 08:47:04 GMT 2019""}'",1,0.9957823753356932,\N,\N,\N,17
2019-07-17 08:52:08.517305,151,1,UPTIME,"b'{""ERROR"":""0"",""MESSAGE"":"""",""RESULT"":""pong"",""TS"":""Wed Jul 17 08:52:08 GMT 2019""}'",1,1.1383066177368164,\N,\N,\N,17
2019-07-17 08:57:12.624470,163,1,UPTIME,"b'{""ERROR"":""0"",""MESSAGE"":"""",""RESULT"":""pong"",""TS"":""Wed Jul 17 08:57:12 GMT 2019""}'",1,1.2438430786132812,\N,\N,\N,17
2019-07-17 09:02:18.229681,179,1,UPTIME,"b'{""ERROR"":""0"",""MESSAGE"":"""",""RESULT"":""pong"",""TS"":""Wed Jul 17 09:02:18 GMT 2019""}'",1,1.0289595127105713,\N,\N,\N,17
2019-07-17 08:47:04.388677,139,1,UPTIME,"b'{""ERROR"":""0"",""MESSAGE"":"""",""RESULT"":""pong"",""TS"":""Wed Jul 17 08:47:04 GMT 2019""}'",1,0.9819784164428712,\N,\N,\N,17
2019-07-17 09:02:18.348443,180,1,UPTIME,"b'{""ERROR"":""0"",""MESSAGE"":"""",""RESULT"":""pong"",""TS"":""Wed Jul 17 09:02:18 GMT 2019""}'",1,0.9826371669769288,\N,\N,\N,17
2019-07-17 08:52:08.465624,149,1,UPTIME,"b'{""ERROR"":""0"",""MESSAGE"":"""",""RESULT"":""pong"",""TS"":""Wed Jul 17 08:52:08 GMT 2019""}'",1,1.0637025833129885,\N,\N,\N,17
2019-07-17 08:57:12.435627,162,1,UPTIME,"b'{""ERROR"":""0"",""MESSAGE"":"""",""RESULT"":""pong"",""TS"":""Wed Jul 17 08:57:12 GMT 2019""}'",1,1.0341694355010986,\N,\N,\N,17
2019-07-17 09:07:22.011718,191,1,UPTIME,"b'{""ERROR"":""0"",""MESSAGE"":"""",""RESULT"":""pong"",""TS"":""Wed Jul 17 09:07:21 GMT 2019""}'",1,0.978245496749878,\N,\N,\N,17
2019-07-17 09:07:22.250111,192,1,UPTIME,"b'{""ERROR"":""0"",""MESSAGE"":"""",""RESULT"":""pong"",""TS"":""Wed Jul 17 09:07:22 GMT 2019""}'",1,1.08296537399292,\N,\N,\N,17
2019-07-17 09:07:22.267493,193,1,UPTIME,"b'{""ERROR"":""0"",""MESSAGE"":"""",""RESULT"":""pong"",""TS"":""Wed Jul 17 09:07:22 GMT 2019""}'",1,1.1392145156860352,\N,\N,\N,17
2019-07-17 09:12:26.165508,203,1,UPTIME,"b'{""ERROR"":""0"",""MESSAGE"":"""",""RESULT"":""pong"",""TS"":""Wed Jul 17 09:12:26 GMT 2019""}'",1,1.0255539417266846,\N,\N,\N,17
2019-07-17 09:12:26.174559,204,1,UPTIME,"b'{""ERROR"":""0"",""MESSAGE"":"""",""RESULT"":""pong"",""TS"":""Wed Jul 17 09:12:26 GMT 2019""}'",1,1.0112504959106443,\N,\N,\N,17
2019-07-17 09:12:26.458984,205,1,UPTIME,"b'{""ERROR"":""0"",""MESSAGE"":"""",""RESULT"":""pong"",""TS"":""Wed Jul 17 09:12:26 GMT 2019""}'",1,1.3914732933044434,\N,\N,\N,17
2019-07-17 09:17:29.747588,215,1,UPTIME,"b'{""ERROR"":""0"",""MESSAGE"":"""",""RESULT"":""pong"",""TS"":""Wed Jul 17 09:17:29 GMT 2019""}'",1,0.986522912979126,\N,\N,\N,17
2019-07-17 09:17:30.177627,216,1,UPTIME,"b'{""ERROR"":""0"",""MESSAGE"":"""",""RESULT"":""pong"",""TS"":""Wed Jul 17 09:17:30 GMT 2019""}'",1,1.0357887744903564,\N,\N,\N,17
2019-07-17 09:17:30.510413,217,1,UPTIME,"b'{""ERROR"":""0"",""MESSAGE"":"""",""RESULT"":""pong"",""TS"":""Wed Jul 17 09:17:30 GMT 2019""}'",1,0.9884150028228762,\N,\N,\N,17
2019-07-17 09:22:34.258951,227,1,UPTIME,"b'{""ERROR"":""0"",""MESSAGE"":"""",""RESULT"":""pong"",""TS"":""Wed Jul 17 09:22:34 GMT 2019""}'",1,1.2471022605895996,\N,\N,\N,17
2019-07-17 09:22:34.294504,228,1,UPTIME,"b'{""ERROR"":""0"",""MESSAGE"":"""",""RESULT"":""pong"",""TS"":""Wed Jul 17 09:22:34 GMT 2019""}'",1,1.201793193817139,\N,\N,\N,17
2019-07-17 09:22:34.328149,229,1,UPTIME,"b'{""ERROR"":""0"",""MESSAGE"":"""",""RESULT"":""pong"",""TS"":""Wed Jul 17 09:22:34 GMT 2019""}'",1,1.1260757446289062,\N,\N,\N,17
2019-07-17 09:27:37.943198,239,1,UPTIME,"b'{""ERROR"":""0"",""MESSAGE"":"""",""RESULT"":""pong"",""TS"":""Wed Jul 17 09:27:37 GMT 2019""}'",1,1.0095207691192627,\N,\N,\N,17
2019-07-17 09:32:42.107512,251,1,UPTIME,"b'{""ERROR"":""0"",""MESSAGE"":"""",""RESULT"":""pong"",""TS"":""Wed Jul 17 09:32:41 GMT 2019""}'",1,0.9948277473449708,\N,\N,\N,17
2019-07-17 09:27:38.140023,241,1,UPTIME,"b'{""ERROR"":""0"",""MESSAGE"":"""",""RESULT"":""pong"",""TS"":""Wed Jul 17 09:27:38 GMT 2019""}'",1,1.1397933959960938,\N,\N,\N,17
2019-07-17 09:32:42.148004,253,1,UPTIME,"b'{""ERROR"":""0"",""MESSAGE"":"""",""RESULT"":""pong"",""TS"":""Wed Jul 17 09:32:41 GMT 2019""}'",1,1.1922075748443604,\N,\N,\N,17
2019-07-17 09:27:38.095014,240,1,UPTIME,"b'{""ERROR"":""0"",""MESSAGE"":"""",""RESULT"":""pong"",""TS"":""Wed Jul 17 09:27:37 GMT 2019""}'",1,1.2034537792205813,\N,\N,\N,17
2019-07-17 09:32:42.109882,252,1,UPTIME,"b'{""ERROR"":""0"",""MESSAGE"":"""",""RESULT"":""pong"",""TS"":""Wed Jul 17 09:32:41 GMT 2019""}'",1,1.174942970275879,\N,\N,\N,17
2019-07-17 09:37:46.246036,263,1,UPTIME,"b'{""ERROR"":""0"",""MESSAGE"":"""",""RESULT"":""pong"",""TS"":""Wed Jul 17 09:37:46 GMT 2019""}'",1,1.033280849456787,\N,\N,\N,17
2019-07-17 09:37:46.294695,264,1,UPTIME,"b'{""ERROR"":""0"",""MESSAGE"":"""",""RESULT"":""pong"",""TS"":""Wed Jul 17 09:37:46 GMT 2019""}'",1,0.9857354164123536,\N,\N,\N,17
2019-07-17 09:37:46.435045,265,1,UPTIME,"b'{""ERROR"":""0"",""MESSAGE"":"""",""RESULT"":""pong"",""TS"":""Wed Jul 17 09:37:46 GMT 2019""}'",1,1.294363021850586,\N,\N,\N,17
